,date,username,text,retweets numbers,geo
0,2017-05-31 08:58:06,onemegawatt,"I'm gonna get a little personal here. As some of you may know, a few months ago my dad was hospitalized. He was diagnosed with meningitis -",0,
1,2017-05-31 08:55:22,TiensOnlineShop,"Orang yang terjangkit Meningitis (radang selaput otak) ada yang merasakan badannya selalu seperti posisi ""kayang""",0,
2,2017-05-31 08:54:52,lauriguevara,Meningitis : preocupación en la escuela de Rodeo del Medio por la desinfección http://www. elsol.com.ar/nota/304758#.W S4GS1VLQVY.twitter …,1,
3,2017-05-31 08:54:12,nowwerevolt,"Try having meningitis , no food, while your father is pumping you out to the neighbors",1,
4,2017-05-31 08:53:25,elsolonline,Meningitis : preocupación en la escuela de Rodeo del Medio por la desinfección tras la muerte de un niño de 7 años http://www. elsol.com.ar/nota/304758/pr ovincia/meningitis-preocupacion-en-la-escuela-de-rodeo-del-medio-por-la-desinfeccion.html … pic.twitter.com/oMXKEKoWns,1,
5,2017-05-31 08:48:13,guymetropolis,#Meningitis C: MSF responds to declared outbreaks in #Nigeria and Niger http://www. msf.org/en/article/men ingitis-c-msf-responds-declared-outbreaks-nigeria-and-niger …,0,
6,2017-05-31 08:46:01,bekiapadres,"Hay un caso de meningitis en el colegio de mi hijo, ¿debo preocuparme? http:// xure.eu/au9qrs pic.twitter.com/fcyp9c3lbP",0,
7,2017-05-31 08:40:37,HansonG_2000,I liked a @YouTube video http:// youtu.be/DkaH_xePNtY?a This Toddler Passed Away After Battling Meningitis — All Because She Wasn’t,0,
8,2017-05-31 08:33:13,Crof,@MSF in Nigeria and #meningitis C: “The lack of diagnostics and available treatments are the main challenges” http:// crofsblogs.typepad.com/h5n1/2017/05/m sf-in-nigeria-and-meningitis-c-the-lack-of-diagnostics-and-available-treatments-are-the-main-challenges-m%C3%A9decins-s.html …,1,
9,2017-05-31 08:28:35,AndML3891,Try having meningitis as a kid and growing up with an abusive father. I'll take it all on. I don't disrespect you but don't underestimate me,0,
10,2017-05-31 08:27:50,MinutoYa,#Mendoza : Conmoción por la muerte de un niño a causa de meningitis http:// fb.me/22WWub31e,0,
11,2017-05-31 08:24:47,DiarioNorteHoy,Confirman un caso de meningitis en la Escuela 168 que fue controlado http://www. nortehoy.com/provincias/cha co/confirman-un-caso-de-meningitis-en-la-escuela-168-que-fue-controlado/ …,0,
12,2017-05-31 08:23:01,btinjah,Turut berdukacita untuk tmn gue anak kostum yg MGKN mninggal krn sakit meningitis :(,0,
13,2017-05-31 08:20:54,rpcpy,@msaludpy recomendó extremar cuidados en la higiene para evitar contagio de la meningitis . Instan al constante lavado de mano. pic.twitter.com/hFyJZiMpdq,0,
14,2017-05-31 08:17:52,ezediudom,"@GbengaGOLD yes, like Yari of d meningitis C infamy",0,
15,2017-05-31 08:13:16,Marcio_Aznar,El pasado 28 de mayo tuvimos que lamentar el fallecimiento de un nene de 7 años a causa de meningitis en la escuela 1-743 de Rodeo del Medio,0,
16,2017-05-31 08:08:20,bactiman63,"Meningococcal Group B vaccine, #Trumenba , gets approval in #Europe #meningitis #vaccines http:// fb.me/8R9LdPq6U",1,
17,2017-05-31 08:07:32,manders_1212,"If you've gotten the Meningitis B shots, you understand how I feel right how.",0,
18,2017-05-31 08:00:02,LosAndesDiario,Murió un nene de 7 años por meningitis y mañana no habrá clases en su escuela de Maipú http:// bit.ly/2qDKqvr pic.twitter.com/KInTQ2edwb,0,
19,2017-05-31 07:56:23,southernkimmy,Meningitis : Bacterial vs. Viral Infections - Click2Houston (KPRC) https:// apple.news/AqBDixn-YOF2Or Qn3nH8edw …,1,
20,2017-05-31 07:55:24,tibuts,Tengo una de esas contracturas que simulan una combinación de ataque cardíaco y meningitis .,0,
21,2017-05-31 07:39:49,bravo4egypt,50 African Children Paralyzed after receiving Bill Gates-backed Meningitis Vaccine http:// fb.me/1014LW1sf,0,
22,2017-05-31 07:38:17,WHOhd,Meningitis Shot Required to Start 7th Grade http:// via.whotv.com/YRPuT pic.twitter.com/8R0MLYcXKK,0,
23,2017-05-31 07:31:23,LibertyWeekly,. @kathygriffin kinda looks like Zelda the sister from pet sematary. Just add spinal meningitis . Nice attempt to return to relevancy. #Trump https:// twitter.com/kathygriffin/s tatus/869654650844098562 …,0,
24,2017-05-31 07:24:52,laprovinciasj,Falleció un nene por meningitis en Mendoza - Diario La Provincia SJ - San Juan http:// fb.me/7lI3W5j2A,0,
25,2017-05-31 07:19:19,GEricaPhillips,Nigeria Faces its Worst Outbreak of Meningitis in Years | HealthMap https:// shar.es/1R4ArO via @DiseaseDaily,0,
26,2017-05-31 07:17:47,JornadaMendoza,Suspenden clases en escuela de Maipú por la muerte de alumno con #Meningitis http:// jornadaonline.com/tw/177218 pic.twitter.com/StcJ7QNb4N,0,
27,2017-05-31 07:15:11,HuffPostUKLife,"The meningitis vaccine that nobody has heard of and how I plan to change that, @M_R_F blogs.. http:// huffp.st/lLuWLXX pic.twitter.com/92i9yg5GJe",6,
28,2017-05-31 07:12:54,ExeFerreyra,"Desde un caso de meningitis hasta un crimen, es espantoso el robo de información de los medios mendocinos. De todos.",0,
29,2017-05-31 07:12:28,sitioandinomza,Maipú: murió un nene por meningitis y suspenden las clases http:// ow.ly/IJ8g30caInZ pic.twitter.com/TVc5S0zoZq,0,
30,2017-05-31 07:05:43,RonanKelly13,"Africa #Meningitis Belt Update: 18,465 cases with 1,295 fatalities to Week 18 https:// flutrackers.com/forum/forum/af rica/emerging-diseases-other-health-threats-ah/770961-africa-meningitis-2017-1-295-fatalities?p=777139#post777139 … pic.twitter.com/G7efOhdUV7",1,
31,2017-05-31 07:04:12,tiemedoks,If you are in Ibadan please get your self vaccinated against Cerebrospinal Meningitis . Go to Federal secretariat at Ibadan.,265,
32,2017-05-31 06:57:33,JamsCowbell,Try having your appendix rupture or getting meningitis and being in for a month. You might appreciate it more and consider it worth funding.,0,
33,2017-05-31 06:57:04,MendozaMiCiudad,Falleció un niño de Rodeo del Medio por meningitis http:// dlvr.it/PH7FdY,1,
34,2017-05-31 06:56:37,ABCCardinal,"#Meningitis ""Esto calmó un poco la psicosis colectiva que se había generado"" Hugo Tintel del @MECpy #AnchoPerfil #730AM",0,
35,2017-05-31 06:56:11,ABCCardinal,"#OñondivepaPorElSur ""Hicimos una campaña fuerte para concienciar sobre la #meningitis "" Hugo Tintel del @MECpy #AnchoPerfil #730AM",1,
36,2017-05-31 06:54:20,PatriciaTouche,mendoza Murió un alumno por meningitis y no habrá clases en una escuela de Rodeo del Medio pic.twitter.com/pN0r7j0Vgy,1,
37,2017-05-31 06:50:15,HelenLBrookes,This is fantastic news @M_R_F . Well Done A huge leap forward #meningitis #meningitisawareness https:// twitter.com/M_R_F/status/8 69544217189765120 …,0,
38,2017-05-31 06:43:13,shibafkenglish,Meningococcal meningitis is usually associated with a generalized vasculitic rash. 髄膜炎菌性髄膜炎では通常、全般性の血管炎性皮疹がみられる。,0,
39,2017-05-31 06:32:44,mdzonline,Falleció un niño de Rodeo del Medio por meningitis http://www. mdzol.com/nota/736555-fa llecio-un-nino-de-rodeo-del-medio-por-meningitis/?utm_campaign=Echobox&utm_content=rs&utm_medium=Echobox&utm_source=Twitter#link_time=1496179900 … pic.twitter.com/m6MlIbWQ2J,3,
40,2017-05-31 06:28:03,realmartinmcc,One thing more dangerous than meningitis is an out break of Kulturefest,0,
41,2017-05-31 06:26:59,elisejames12,Stg if jordanna doesn't wake up tomoz to take me for my jab and I die of meningitis I will hunt her down in my after life and torture her,0,
42,2017-05-31 06:21:00,lauriguevara,Murió un alumno por meningitis y no habrá clases en una escuela de Rodeo del Medio http://www. elsol.com.ar/nota/304749#.W S3iOntjbE4.twitter …,1,
43,2017-05-31 06:20:05,diarionorte,Confirman un caso de meningitis en la Escuela 168 que fue controlado http:// dlvr.it/PH6g4V,0,
44,2017-05-31 06:19:40,HelloTiffi_,You can get meningitis from another person????? https:// twitter.com/moodyteeny/sta tus/869659300972683266 …,0,
45,2017-05-31 06:17:45,elsolonline,ACTUALIZADA/ Murió un alumno por meningitis y no habrá clases en una escuela de Rodeo del Medio http://www. elsol.com.ar/nota/304749/pr ovincia/murio-un-alumno-por-meningitis-y-no-habra-clases-en-una-escuela-de-rodeo-del-medio.html …,0,
46,2017-05-31 06:10:29,essienbassey203,Meningitis Kills Two In Lagos As Death Toll Rises To 438 - https://www. 36ng.ng/2017/04/09/men ingitis-kills-two-lagos-death-toll-rises-438/ …,0,
47,2017-05-31 06:08:47,kriya_amin,Ready for tomorrow's bake sale to raise meningitis awareness #MayMayhem #brownies @MeningitisNow @LeighDayClinNeg @LDBrainandSpinal pic.twitter.com/CbT17dBwyJ,4,
